  i          x            density        pressure        velocity
 250   6.2406015E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 251   6.2656641E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 252   6.2907267E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 253   6.3157892E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 254   6.3408524E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 255   6.3659149E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 256   6.3909775E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 257   6.4160401E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 258   6.4411026E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 259   6.4661652E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 260   6.4912277E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 261   6.5162909E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 262   6.5413535E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 263   6.5664160E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 264   6.5914786E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 265   6.6165411E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 266   6.6416037E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 267   6.6666669E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 268   6.6917294E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 269   6.7167920E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 270   6.7418545E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 271   6.7669171E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 272   6.7919797E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 273   6.8170428E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 274   6.8421054E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 275   6.8671679E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 276   6.8922305E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 277   6.9172931E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 278   6.9423556E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 279   6.9674188E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 280   6.9924814E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 281   7.0175439E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 282   7.0426065E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 283   7.0676690E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 284   7.0927316E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 285   7.1177942E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 286   7.1428573E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 287   7.1679199E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 288   7.1929824E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 289   7.2180450E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 290   7.2431076E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 291   7.2681701E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 292   7.2932333E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 293   7.3182958E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 294   7.3433584E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 295   7.3684210E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 296   7.3934835E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 297   7.4185461E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 298   7.4436092E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 299   7.4686718E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 300   7.4937344E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 301   7.5187969E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 302   7.5438595E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 303   7.5689220E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 304   7.5939852E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 305   7.6190478E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 306   7.6441103E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 307   7.6691729E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 308   7.6942354E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 309   7.7192980E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 310   7.7443606E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 311   7.7694237E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 312   7.7944863E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 313   7.8195488E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 314   7.8446114E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 315   7.8696740E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 316   7.8947365E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 317   7.9197997E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 318   7.9448622E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 319   7.9699248E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 320   7.9949874E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 321   8.0200499E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 322   8.0451125E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 323   8.0701756E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 324   8.0952382E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 325   8.1203008E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 326   8.1453633E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 327   8.1704259E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 328   8.1954885E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 329   8.2205516E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 330   8.2456142E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 331   8.2706767E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 332   8.2957393E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 333   8.3208019E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 334   8.3458644E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 335   8.3709270E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 336   8.3959901E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 337   8.4210527E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 338   8.4461153E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 339   8.4711778E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 340   8.4962404E-01   2.6557371E-01   3.0313015E-01   9.2745250E-01
 341   8.5213029E-01   1.2500000E-01   1.0000000E-01   0.0000000E+00
