# solution from ATHENA 
# Nx1 = 800
# x1-size = 1
# Time = 0.1
#
# [1]=i-zone [2]=x1 [3]=d [4]=M1 [5]=M2 [6]=M3 [7]=P [8]=E [9]=B1c [10]=B2c [11]=B3c [12]=B1i [13]=B1i [14]=B1i
#
 94 1.13125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 95 1.14375000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 96 1.15625000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 97 1.16875000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 98 1.18125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
 99 1.19375000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
100 1.20625000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
101 1.21875000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
102 1.23125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
103 1.24375000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
104 1.25625000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
105 1.26875000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
106 1.28125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
107 1.29375000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
108 1.30625000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
109 1.31875000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
110 1.33125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
111 1.34375000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
112 1.35625000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
113 1.36875000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
114 1.38125000e-01 1.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.00000000e+00 1.78125000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00 7.50000000e-01 1.00000000e+00 0.00000000e+00
